ASX code,Company name,Listing date,GICs industry group,Market Cap
BOL,BOOM LOGISTICS LIMITED,14/10/2003,Capital Goods,59888389
BOQ,BANK OF QUEENSLAND LIMITED.,24/08/1971,Banks,4658742971
BOT,BOTANIX PHARMACEUTICALS LTD,24/01/1985,"Pharmaceuticals, Biotechnology & Life Sciences",71044203
BPH,BPH ENERGY LTD,06/08/2004,"Pharmaceuticals, Biotechnology & Life Sciences",17261294
BPM,BPM MINERALS LIMITED,30/12/2020,Materials,6522221
BPP,BABYLON PUMP & POWER LIMITED,13/12/1996,Capital Goods,9831085
BPT,BEACH ENERGY LIMITED,30/06/1972,Energy,3946707225
BRB,BREAKER RESOURCES NL,20/04/2012,Materials,101104795
BRG,BREVILLE GROUP LIMITED,25/05/1999,Consumer Durables & Apparel,2884183573
BRI,BIG RIVER INDUSTRIES LIMITED,01/05/2017,Materials,168520188
BRK,BROOKSIDE ENERGY LIMITED,31/10/2005,Energy,57641138
BRL,BATHURST RESOURCES LIMITED.,21/06/2013,Materials,135865444
BRN,BRAINCHIP HOLDINGS LTD,09/11/2011,Software & Services,1226072122
BRU,BURU ENERGY LIMITED,01/09/2008,Energy,68544955
BRX,BELARAROX LIMITED,28/01/2022,Materials,16329006
BSADA,BSA LIMITED,15/11/1999,Commercial & Professional Services,0
BSE,BASE RESOURCES LIMITED,02/10/2008,Materials,235602370
BSL,BLUESCOPE STEEL LIMITED,15/07/2002,Materials,7938883512
BSN,BASIN ENERGY LIMITED,04/10/2022,Energy,12590603
BST,BEST & LESS GROUP HOLDINGS LTD,26/07/2021,Retailing,278314585
BSX,BLACKSTONE MINERALS LIMITED,23/01/2017,Materials,70983784
BTC,BTC HEALTH LTD,29/08/2000,Not Applic,10710161
BTE,BOTALA ENERGY LTD,14/07/2022,Energy,19066543
BTH,BIGTINCAN HOLDINGS LIMITED,24/03/2017,Software & Services,386645108
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,21/11/2014,Diversified Financials,184874229
BTN,BUTN LIMITED,06/07/2021,Diversified Financials,28805400
BTR,BRIGHTSTAR RESOURCES LIMITED,05/12/2003,Materials,11167713
BUB,BUBS AUSTRALIA LIMITED,05/10/1993,"Food, Beverage & Tobacco",219992561
BUD,BUDDY TECHNOLOGIES LTD,18/12/2006,Consumer Durables & Apparel,N/A
BUR,BURLEY MINERALS LTD,07/07/2021,Materials,14030000
BUS,BUBALUS RESOURCES LIMITED,13/10/2022,Materials,6732350
BUX,BUXTON RESOURCES LIMITED,23/10/2007,Materials,15248170
BUY,BOUNTY OIL & GAS NL,05/02/2002,Energy,9593507
BVR,BELLAVISTA RESOURCES LTD,25/05/2022,Materials,17375966
BVS,BRAVURA SOLUTIONS LIMITED.,16/11/2016,Software & Services,208617362
BWF,BLACKWALL LIMITED,21/10/2011,Diversified Financials,44527854
BWP,BWP TRUST,16/09/1998,Real Estate,2633773592
BWX,BWX LIMITED,11/11/2015,Household & Personal Products,N/A
BXB,BRAMBLES LIMITED,27/11/2006,Commercial & Professional Services,16691549561
BXN,BIOXYNE LIMITED,14/12/2000,Household & Personal Products,15975490
BYE,BYRON ENERGY LIMITED,03/06/2005,Energy,124360437
BYH,BRYAH RESOURCES LIMITED,17/10/2017,Materials,7312590
BYI,BEYOND INTERNATIONAL LIMITED,12/06/1987,Media & Entertainment,47229465
C1X,COSMOS EXPLORATION LIMITED,01/12/2021,Materials,5075000
C29,C29 METALS LIMITED,03/11/2021,Materials,11090417
C6C,COPPER MOUNTAIN MINING CORPORATION,06/04/2018,Materials,376891524
C79,CHRYSOS CORPORATION LIMITED,06/05/2022,Commercial & Professional Services,306055548
C7A,CLARA RESOURCES AUSTRALIA LTD,21/10/2010,Materials,14216787
CAA,CAPRAL LIMITED,20/11/1986,Materials,138051703
CAD,CAENEUS MINERALS LTD,11/07/2000,Materials,18709618
CAE,CANNINDAH RESOURCES LIMITED,20/05/2005,Materials,134316338
CAF,CENTREPOINT ALLIANCE LIMITED,25/06/2002,Diversified Financials,46032244
CAG,CAPE RANGE LTD,30/11/2017,Software & Services,11388996
CAI,CALIDUS RESOURCES LIMITED,13/03/1987,Materials,153223597
CAJ,CAPITOL HEALTH LIMITED,09/06/2006,Health Care Equipment & Services,334817351
CAM,CLIME CAPITAL LIMITED,03/02/2004,Not Applic,118141440
CAN,CANN GROUP LIMITED,04/05/2017,"Pharmaceuticals, Biotechnology & Life Sciences",82568472
CAQ,CAQ HOLDINGS LIMITED,25/07/2005,Real Estate,18662443
CAR,CARSALES.COM LIMITED.,10/09/2009,Media & Entertainment,7760850166
CAT,CATAPULT GROUP INTERNATIONAL LTD,19/12/2014,Technology Hardware & Equipment,200127465
CAU,CRONOS AUSTRALIA LIMITED,07/11/2019,Health Care Equipment & Services,343998228
CAV,CARNAVALE RESOURCES LIMITED,15/03/2007,Materials,13667759
CAY,CANYON RESOURCES LIMITED,15/06/2010,Materials,34098393
CAZ,CAZALY RESOURCES LIMITED,31/10/2003,Materials,10782832
CBA,COMMONWEALTH BANK OF AUSTRALIA.,12/09/1991,Banks,1.82802E+11
CBE,COBRE LIMITED,31/01/2020,Materials,48890264
CBH,COOLABAH METALS LIMITED,28/07/2022,Materials,4585500
CBL,CONTROL BIONICS LIMITED,07/12/2020,Health Care Equipment & Services,14929040
CBO,COBRAM ESTATE OLIVES LIMITED,11/08/2021,"Food, Beverage & Tobacco",646620786
CBR,CARBON REVOLUTION LIMITED,29/11/2019,Automobiles & Components,N/A
CBY,CANTERBURY RESOURCES LIMITED,07/03/2019,Materials,5226918
CCA,CHANGE FINANCIAL LIMITED,30/06/2016,Software & Services,23614624
CCE,CARNEGIE CLEAN ENERGY LIMITED,26/10/1993,Utilities,31285147
CCG,COMMS GROUP LTD,21/12/2017,Telecommunication Services,29597656
CCP,CREDIT CORP GROUP LIMITED,04/09/2000,Diversified Financials,1365421131
CCR,CREDIT CLEAR LIMITED,27/10/2020,Software & Services,157774852
CCV,CASH CONVERTERS INTERNATIONAL,07/02/1997,Diversified Financials,150610804
CCX,CITY CHIC COLLECTIVE LIMITED,28/05/1998,Retailing,161568394
CCZ,CASTILLO COPPER LIMITED,14/12/2010,Materials,22091591
CD1,CD PRIVATE EQUITY FUND I,14/08/2012,Not Applic,32165038
CD2,CD PRIVATE EQUITY FUND II,09/04/2013,Not Applic,63237299
CD3,CD PRIVATE EQUITY FUND III,27/07/2016,Not Applic,100839788
CDA,CODAN LIMITED,27/11/2003,Technology Hardware & Equipment,715613971
CDD,CARDNO LIMITED,20/05/2004,Commercial & Professional Services,17967905
CDM,CADENCE CAPITAL LIMITED,05/12/2006,Not Applic,279914893
CDO,CADENCE OPPORTUNITIES FUND LIMITED.,19/11/2021,Not Applic,36995004
CDP,CARINDALE PROPERTY TRUST,28/11/1996,Real Estate,315001878
CDR,CODRUS MINERALS LIMITED,23/06/2021,Materials,7543000
CDT,CASTLE MINERALS LIMITED,02/05/2006,Materials,25986818
CDX,CARDIEX LIMITED,09/11/2005,Health Care Equipment & Services,39224863
CE1,CALIMA ENERGY LIMITED,28/07/2006,Energy,79527600
CEL,CHALLENGER EXPLORATION LIMITED,07/11/2007,Energy,172410356
CEN,CONTACT ENERGY LIMITED,24/09/2015,Utilities,5443639597
CF1,COMPLII FINTECH SOLUTIONS LTD,18/12/2001,Software & Services,33166145
CFO,CFOAM LIMITED,26/10/2016,Capital Goods,1834602
CG1,CARBONXT GROUP LIMITED,23/01/2018,Materials,20836610
CGB,CANN GLOBAL LIMITED,14/01/2008,"Pharmaceuticals, Biotechnology & Life Sciences",N/A
CGC,COSTA GROUP HOLDINGS LIMITED,24/07/2015,"Food, Beverage & Tobacco",1226402670
CGF,CHALLENGER LIMITED,23/12/2003,Diversified Financials,4965246263
CGN,CRATER GOLD MINING LIMITED,01/11/2002,Materials,N/A
CGO,CPT GLOBAL LIMITED,08/09/2000,Software & Services,13996023
CGS,COGSTATE LTD,13/02/2004,Health Care Equipment & Services,326057796
CHC,CHARTER HALL GROUP,10/06/2005,Real Estate,6428031934
CHK,COHIBA MINERALS LIMITED,01/02/2012,Materials,9765965
CHL,CAMPLIFY HOLDINGS LIMITED,28/06/2021,Transportation,85538995
CHM,CHIMERIC THERAPEUTICS LIMITED,18/01/2021,"Pharmaceuticals, Biotechnology & Life Sciences",38599700
CHN,CHALICE MINING LIMITED,24/03/2006,Materials,1975560269
CHR,CHARGER METALS NL,09/07/2021,Materials,32553168
CHZ,CHESSER RESOURCES LIMITED,29/05/2007,Materials,44109233
CI1,CREDIT INTELLIGENCE LTD,10/07/2008,Commercial & Professional Services,16282336
CIA,CHAMPION IRON LIMITED,08/06/2007,Materials,3211769312
CII,CI RESOURCES LIMITED,24/07/1987,Materials,N/A
CIN,CARLTON INVESTMENTS LIMITED,30/06/1970,Not Applic,833952263
CIO,,16/08/1984,Technology Hardware & Equipment,
CIP,CENTURIA INDUSTRIAL REIT,13/12/2012,Real Estate,2025428726
CIW,CLIME INVESTMENT MANAGEMENT LTD,15/12/2000,Diversified Financials,37583042
CKA,COKAL LIMITED,17/04/2000,Materials,155339082
CKF,COLLINS FOODS LIMITED,04/08/2011,Consumer Services,943407699
CL8,CARLY HOLDINGS LIMITED,09/09/1996,Retailing,4087408
CLA,CELSIUS RESOURCES LIMITED.,24/03/1988,Materials,25548094
CLB,CANDY CLUB HOLDINGS LIMITED,19/02/2019,Food & Staples Retailing,N/A
CLE,CYCLONE METALS LIMITED,07/06/2001,Materials,12233474
CLG,CLOSE THE LOOP LTD.,02/12/2021,Commercial & Professional Services,134180591
CLT,CELLNET GROUP LIMITED,17/11/1999,Technology Hardware & Equipment,7307839
CLU,CLUEY LTD,09/12/2020,Consumer Services,60843303
CLV,CLOVER CORPORATION LIMITED,30/11/1999,Materials,203888156
CLW,CHARTER HALL LONG WALE REIT,08/11/2016,Real Estate,3181004050
CLX,CTI LOGISTICS LIMITED,02/12/1987,Transportation,128996586
CLZ,CLASSIC MINERALS LTD,24/05/2013,Materials,6627450
CM8,CROWD MEDIA HOLDINGS LIMITED,16/12/1999,Media & Entertainment,22308371
CMD,CASSIUS MINING LIMITED,10/08/2006,Materials,11304745
CMG,CRITICAL MINERALS GROUP LIMITED,27/09/2022,Materials,8816000
CML,CHASE MINING CORPORATION LIMITED,15/11/2007,Materials,14572179
CMM,CAPRICORN METALS LTD,07/07/2008,Materials,1574225029
CMO,COSMO METALS LIMITED,31/01/2022,Materials,7071400
CMP,COMPUMEDICS LIMITED,21/12/2000,Health Care Equipment & Services,40747478
CMW,CROMWELL PROPERTY GROUP,22/02/1973,Real Estate,1846301023
CMX,CHEMX MATERIALS LIMITED,18/01/2022,Materials,16698914
CNB,CARNABY RESOURCES LIMITED,30/08/2016,Materials,122876760
CNI,CENTURIA CAPITAL GROUP,26/03/2002,Real Estate,1497228204
CNJ,CONICO LTD,18/06/2007,Materials,13094713
CNQ,CLEAN TEQ WATER LIMITED,02/07/2021,Commercial & Professional Services,19476913
CNR,CANNON RESOURCES LIMITED,12/08/2021,Materials,40903010
CNU,CHORUS LIMITED,21/11/2011,Telecommunication Services,3406783542
CNW,CIRRUS NETWORKS HOLDINGS LIMITED,10/02/2004,Software & Services,31155214
COB,COBALT BLUE HOLDINGS LIMITED,02/02/2017,Materials,214313700
COD,CODA MINERALS LTD,28/10/2020,Materials,37220863
COE,COOPER ENERGY LIMITED,13/03/2002,Energy,499450518
COF,CENTURIA OFFICE REIT,10/12/2014,Real Estate,949765720
COG,COG FINANCIAL SERVICES LIMITED,28/01/2003,Diversified Financials,293498996
COH,COCHLEAR LIMITED,04/12/1995,Health Care Equipment & Services,13907506125
COI,COMET RIDGE LIMITED,16/04/2004,Energy,176815290
COL,COLES GROUP LIMITED.,21/11/2018,Food & Staples Retailing,22832959570
COO,CORUM GROUP LIMITED,28/07/1971,Software & Services,18518835
COS,COSOL LIMITED,24/01/2020,Software & Services,103305798
COY,COPPERMOLY LIMITED,31/01/2008,Materials,24133526
CPH,CRESO PHARMA LIMITED,20/10/2016,"Pharmaceuticals, Biotechnology & Life Sciences",33047229
CPM,COOPER METALS LIMITED,19/11/2021,Materials,13340001
CPN,CASPIN RESOURCES LIMITED,25/11/2020,Materials,51197386
CPO,CULPEO MINERALS LIMITED,10/09/2021,Materials,7843385
CPT,CIPHERPOINT LIMITED,03/01/2007,Software & Services,5803495
CPU,COMPUTERSHARE LIMITED.,27/05/1994,Software & Services,16699153434
CPV,CLEARVUE TECHNOLOGIES LIMITED,25/05/2018,Capital Goods,36220430
CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,22/05/2003,Real Estate,1229825542
CQR,CHARTER HALL RETAIL REIT,15/11/1995,Real Estate,2359792213
CR1,CONSTELLATION RESOURCES LIMITED,30/07/2018,Materials,8483922
CR9,CORELLA RESOURCES LTD,15/01/2008,Materials,11902545
CRB,CARBINE RESOURCES LIMITED,16/03/2007,Materials,6237036
CRD,CONRAD ASIA ENERGY LTD.,27/10/2022,Energy,216782626
CRL,COMET RESOURCES LIMITED,02/03/1994,Materials,N/A
CRM,CARBON MINERALS LIMITED,31/12/1980,Energy,N/A
CRN,CORONADO GLOBAL RESOURCES INC.,23/10/2018,Materials,3386436535
CRR,CRITICAL RESOURCES LIMITED,03/12/2010,Materials,83637213
CRS,CAPRICE RESOURCES LTD,05/12/2018,Materials,3946727
CSE,COPPER STRIKE LIMITED,24/11/2004,Materials,15950149
CSF,CATALANO SEAFOOD LTD,11/03/2022,"Food, Beverage & Tobacco",6810540
CSL,CSL LIMITED,08/06/1994,"Pharmaceuticals, Biotechnology & Life Sciences",1.45909E+11
CSR,CSR LIMITED,31/03/1962,Materials,2351952764
CSS,CLEAN SEAS SEAFOOD LIMITED,12/12/2005,"Food, Beverage & Tobacco",100948602
CST,CASTILE RESOURCES LTD,14/02/2020,Materials,30237803
CSX,CLEANSPACE HOLDINGS LIMITED,23/10/2020,Health Care Equipment & Services,34273688
CT1,CONSTELLATION TECHNOLOGIES LIMITED,08/10/1987,Technology Hardware & Equipment,5884801
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,15/12/2010,Consumer Services,2418764581
CTE,CRYOSITE LIMITED,09/05/2002,"Pharmaceuticals, Biotechnology & Life Sciences",36607172
CTM,CENTAURUS METALS LIMITED,12/01/1989,Materials,465545838
CTO,CITIGOLD CORPORATION LIMITED,23/12/1993,Materials,17001955
CTP,CENTRAL PETROLEUM LIMITED,07/03/2006,Energy,60528617
CTQ,CARETEQ LIMITED,10/01/2022,Health Care Equipment & Services,7661088
CTT,CETTIRE LIMITED,18/12/2020,Retailing,541358272
CTV,COLORTV LIMITED,14/12/2017,Media & Entertainment,N/A
CU6,CLARITY PHARMACEUTICALS LTD,25/08/2021,"Pharmaceuticals, Biotechnology & Life Sciences",256669891
CUE,CUE ENERGY RESOURCES LIMITED,11/12/1995,Energy,46075902
CUF,CUFE LTD,13/10/2005,Materials,14491685
CUL,CULLEN RESOURCES LIMITED,23/11/1988,Materials,6339115
CUP,COUNTPLUS LIMITED,22/12/2010,Commercial & Professional Services,74244663
CUS,COPPER SEARCH LIMITED,15/09/2021,Materials,16481588
CUV,CLINUVEL PHARMACEUTICALS LIMITED,13/02/2001,"Pharmaceuticals, Biotechnology & Life Sciences",899268152
CVC,CVC LIMITED,27/06/1985,Diversified Financials,233648188
CVL,CIVMEC LIMITED,22/06/2018,Capital Goods,310656180
CVN,CARNARVON ENERGY LIMITED,16/08/1984,Energy,270028036
CVR,CAVALIER RESOURCES LIMITED,17/06/2022,Materials,6669929
CVV,CARAVEL MINERALS LIMITED,03/11/2006,Materials,105310562
CVW,CLEARVIEW WEALTH LIMITED,11/12/2003,Diversified Financials,300772585
CWL,CONSOLIDATED FINANCIAL HOLDINGS LIMITED,23/10/2007,Software & Services,N/A
CWP,CEDAR WOODS PROPERTIES LIMITED,31/08/1994,Real Estate,355969027
CWX,CARAWINE RESOURCES LIMITED,14/12/2017,Materials,17910390
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,03/05/2005,Commercial & Professional Services,6166020332
CXL,CALIX LIMITED,20/07/2018,Materials,891821641
CXM,CENTREX LIMITED,19/07/2006,Materials,82568705
CXO,CORE LITHIUM LTD,11/02/2011,Materials,2408198439
CXU,CAULDRON ENERGY LIMITED,28/01/2005,Energy,5354113
CXX,CRADLE RESOURCES LIMITED,16/09/2011,Materials,N/A
CXZ,CONNEXION TELEMATICS LTD,01/01/1974,Software & Services,9547877
CY5,CYGNUS GOLD LIMITED,15/01/2018,Materials,82114582
CYC,CYCLOPHARM LIMITED,18/01/2007,Health Care Equipment & Services,120969974
CYG,COVENTRY GROUP LIMITED,27/01/1966,Capital Goods,108979935
CYL,CATALYST METALS LIMITED,26/07/2006,Materials,132177379
CYM,CYPRIUM METALS LIMITED,26/04/1985,Materials,64257450
CYP,CYNATA THERAPEUTICS LIMITED,20/12/2007,"Pharmaceuticals, Biotechnology & Life Sciences",50146808
CYQ,CYCLIQ GROUP LTD,21/11/2007,Consumer Durables & Apparel,2432617
CZL,CONSOLIDATED ZINC LIMITED,19/06/2006,Materials,9258429
CZN,CORAZON MINING LIMITED,30/06/2005,Materials,10070454
CZRDA,CZR RESOURCES LTD,29/08/2006,Materials,0
D2O,DUXTON WATER LIMITED,16/09/2016,Utilities,194537532
DAF,DISCOVERY ALASKA LIMITED,22/09/2011,Materials,6278572
DAL,DALAROO METALS LTD,28/09/2021,Materials,5940000
DBF,DUXTON FARMS LTD,08/02/2018,"Food, Beverage & Tobacco",63879235
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,08/12/2020,Transportation,1204700851
DBO,DIABLO RESOURCES LIMITED,12/10/2021,Materials,4619000
DC2,DC TWO LIMITED,10/11/2020,Software & Services,3287999
DCC,DIGITALX LIMITED,06/02/1989,Software & Services,20874533
DCG,DECMIL GROUP LIMITED,22/04/2005,Capital Goods,28751587
DCL,DOMACOM LIMITED,07/11/2016,Diversified Financials,N/A
DCN,DACIAN GOLD LIMITED,14/11/2012,Materials,158184122
DCX,DISCOVEX RESOURCES LIMITED,13/12/2007,Materials,9907704
DDB,DYNAMIC GROUP HOLDINGS LIMITED,06/08/2020,Capital Goods,40365887
DDH,DDH1 LIMITED,09/03/2021,Materials,371468780
DDR,DICKER DATA LIMITED,24/01/2011,Technology Hardware & Equipment,2016270043
DDT,DATADOT TECHNOLOGY LIMITED,12/01/2005,Automobiles & Components,7463217
DEG,DE GREY MINING LIMITED,03/07/2002,Materials,1988415943
DEL,DELOREAN CORPORATION LIMITED,12/04/2021,Utilities,15531906
DEM,DE.MEM LIMITED,07/04/2017,Utilities,31772824
DES,DESOTO RESOURCES LIMITED,,Materials,0
DEV,DEVEX RESOURCES LIMITED,03/10/2000,Energy,113087465
DEX,DUKE EXPLORATION LIMITED,10/11/2020,Materials,N/A
DGH,DESANE GROUP HOLDINGS LIMITED,04/09/1987,Real Estate,36614441
DGL,DGL GROUP LIMITED,24/05/2021,Materials,424458095
DGR,DGR GLOBAL LIMITED,21/08/2003,Materials,63665302
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,16/11/2017,Media & Entertainment,1939187460
DJW,DJERRIWARRH INVESTMENTS LIMITED,28/06/1995,Not Applic,756026317
DKM,DUKETON MINING LIMITED,04/08/2014,Materials,42712402
DLM,DOMINION MINERALS LIMITED,19/03/2004,"Pharmaceuticals, Biotechnology & Life Sciences",10614974
DLT,DELTA DRONE INTERNATIONAL LIMITED,18/06/2018,Technology Hardware & Equipment,6139259
DM1,DESERT METALS LIMITED,18/12/2020,Materials,20645707
DMC,DESIGN MILK CO LIMITED,24/03/1997,Retailing,N/A
DME,DOME GOLD MINES LIMITED,22/10/2013,Materials,80790751
DMG,DRAGON MOUNTAIN GOLD LIMITED,31/07/2007,Materials,4341388
DMM,DMC MINING LIMITED.,22/12/2021,Materials,6025500
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,16/05/2005,Consumer Services,5680843757
DNA,DONACO INTERNATIONAL LIMITED,23/12/2004,Consumer Services,59298690
DNK,DANAKALI LIMITED,17/10/2003,Materials,127075349
DOC,DOCTOR CARE ANYWHERE GROUP PLC,04/12/2020,Health Care Equipment & Services,21271027
DOR,DORIEMUS PLC,29/09/2017,Energy,N/A
DOU,DOUUGH LIMITED,15/06/2004,Telecommunication Services,17797803
DOW,DOWNER EDI LIMITED,20/12/1990,Commercial & Professional Services,3459766848
DRA,DRA GLOBAL LIMITED,09/07/2021,Capital Goods,108820996
DRE,DREADNOUGHT RESOURCES LTD,31/10/2006,Materials,307371155
DRM,DEMETALLICA LIMITED,26/05/2022,Materials,37742482
DRO,DRONESHIELD LIMITED,22/06/2016,Capital Goods,90208397
DRR,DETERRA ROYALTIES LIMITED,23/10/2020,Materials,2420647724
DRX,DIATREME RESOURCES LIMITED,22/06/2005,Materials,111892774
DSE,DROPSUITE LIMITED,12/12/1985,Software & Services,144877339
DSK,DUSK GROUP LIMITED,02/11/2020,Retailing,127649123
DTC,DAMSTRA HOLDINGS LIMITED,16/10/2019,Software & Services,41231422
DTI,DTI GROUP LTD,09/12/2014,Technology Hardware & Equipment,7176823
DTL,DATA#3 LIMITED,23/12/1997,Software & Services,1060550402
DTM,DART MINING NL,10/05/2007,Materials,10712951
DTR,DATELINE RESOURCES LIMITED,23/06/2011,Materials,41593944
DTZ,DOTZ NANO LIMITED,13/12/2007,Semiconductors & Semiconductor Equipment,117107727
DUB,DUBBER CORPORATION LIMITED,30/06/2000,Software & Services,99627898
DUG,DUG TECHNOLOGY LTD,12/08/2020,Software & Services,53155524
DUI,DIVERSIFIED UNITED INVESTMENT LIMITED,19/12/1991,Not Applic,1077352983
DUN,DUNDAS MINERALS LIMITED,10/11/2021,Materials,18119449
DUR,DURATEC LIMITED,04/11/2020,Capital Goods,127943572
DVL,DORSAVI LTD,11/12/2013,"Pharmaceuticals, Biotechnology & Life Sciences",5220075
DVP,DEVELOP GLOBAL LIMITED,27/04/2007,Materials,439843178
DVR,DIVERGER LIMITED,02/08/2005,Diversified Financials,38239215
DW8,DW8 LIMITED,04/04/2001,Retailing,6203045
DXB,DIMERIX LIMITED,04/02/1993,"Pharmaceuticals, Biotechnology & Life Sciences",52944155
DXC,DEXUS CONVENIENCE RETAIL REIT,27/07/2017,Real Estate,389851073
DXI,DEXUS INDUSTRIA REIT.,03/12/2013,Real Estate,916910335
DXN,DXN LIMITED,11/04/2018,Software & Services,10327889
DXS,DEXUS,06/10/2004,Real Estate,8453942834
DYL,DEEP YELLOW LIMITED,19/12/1985,Energy,493794387
DYM,DYNAMIC METALS LIMITED,,Class Pend,0
E25,ELEMENT 25 LIMITED,09/11/2006,Materials,202151801
E2M,E2 METALS LIMITED,19/04/2017,Materials,30865510
E33,EAST 33 LIMITED..,29/07/2021,"Food, Beverage & Tobacco",16091750
E79,E79 GOLD MINES LIMITED,07/10/2021,Materials,9570109
EAI,ELLERSTON ASIAN INVESTMENTS LIMITED,15/09/2015,Not Applic,95113938
EAX,ENERGY ACTION LIMITED,13/10/2011,Commercial & Professional Services,1943179
EBG,EUMUNDI GROUP LIMITED,07/12/1989,Consumer Services,47328949
EBO,EBOS GROUP LIMITED,06/12/2013,Health Care Equipment & Services,7091602061
EBR,EBR SYSTEMS INC.,24/11/2021,Health Care Equipment & Services,129879082
ECF,ELANOR COMMERCIAL PROPERTY FUND,06/12/2019,Real Estate,297562972
ECG,ECARGO HOLDINGS LIMITED,28/11/2014,Commercial & Professional Services,9228750
ECL,EXCELSIOR CAPITAL LTD,22/04/1993,Capital Goods,60308496
ECP,ECP EMERGING GROWTH LIMITED,14/08/2014,Not Applic,19714520
ECS,ECS BOTANICS HOLDINGS LTD,13/03/1986,"Pharmaceuticals, Biotechnology & Life Sciences",21027883
ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,05/02/1986,Commercial & Professional Services,26601901
ECX,ECLIPX GROUP LIMITED,22/04/2015,Diversified Financials,564559515
EDC,EILDON CAPITAL GROUP,28/02/2017,Diversified Financials,37083884
EDE,EDEN INNOVATIONS LTD,06/06/2006,Energy,17622988
EDU,EDU HOLDINGS LIMITED,25/06/2004,Consumer Services,28086455
EDV,ENDEAVOUR GROUP LIMITED,24/06/2021,Food & Staples Retailing,12608499320
EEG,EMPIRE ENERGY GROUP LIMITED,30/08/1984,Energy,150758624
EEL,ENRG ELEMENTS LTD,01/07/2011,Materials,20416041
EFE,EASTERN RESOURCES LIMITED,16/05/2008,Materials,40943612
EGG,ENERO GROUP LIMITED,30/04/2004,Media & Entertainment,250345010
EGH,EUREKA GROUP HOLDINGS LIMITED,01/07/2004,Real Estate,138173171
EGL,ENVIRONMENTAL GROUP LIMITED (THE),12/02/1981,Capital Goods,62920446
EGN,ENGENCO LIMITED,14/12/2006,Capital Goods,142042615
EGR,ECOGRAF LIMITED,29/10/2010,Materials,132848370
EGY,ENERGY TECHNOLOGIES LIMITED,22/10/1992,Capital Goods,16336513
EHE,ESTIA HEALTH LIMITED,05/12/2014,Health Care Equipment & Services,547725392
EHL,EMECO HOLDINGS LIMITED,28/07/2006,Capital Goods,412607079
EIQ,ECHOIQ LIMITED,17/12/2010,Software & Services,81492938
EL8,ELEVATE URANIUM LTD,23/10/1985,Energy,107443330
ELD,ELDERS LIMITED,30/06/1981,"Food, Beverage & Tobacco",1611708712
ELE,ELMORE LTD,25/02/1998,Materials,21066963
ELO,ELMO SOFTWARE LIMITED,29/06/2017,Software & Services,469167744
ELS,ELSIGHT LIMITED,08/06/2017,Technology Hardware & Equipment,52611853
ELT,ELEMENTOS LIMITED,23/12/2009,Materials,47204178
EM1,EMERGE GAMING LIMITED,09/06/1971,Media & Entertainment,12333584
EM2,EAGLE MOUNTAIN MINING LIMITED,16/03/2018,Materials,41581085
EMB,EMBELTON LIMITED,01/01/1974,Capital Goods,21578570
EMD,EMYRIA LIMITED,12/02/2020,Health Care Equipment & Services,56712981
EME,ENERGY METALS LTD,09/09/2005,Energy,30404080
EMH,EUROPEAN METALS HOLDINGS LIMITED,19/07/2012,Materials,136741226
EML,EML PAYMENTS LIMITED,18/01/2006,Software & Services,254309208
EMN,EURO MANGANESE INC,02/10/2018,Materials,134373710
EMP,EMPEROR ENERGY LIMITED,05/06/1987,Energy,6990424
EMR,EMERALD RESOURCES NL,22/07/1994,Materials,670656111
EMS,EASTERN METALS LIMITED,25/10/2021,Materials,5275280
EMT,EMETALS LIMITED,26/10/2010,Not Applic,11050000
EMU,EMU NL,27/02/2008,Materials,4810877
EMUCA,EMU NL,27/02/2008,Materials,4810877
EMV,EMVISION MEDICAL DEVICES LTD,13/12/2018,Health Care Equipment & Services,156152786
ENA,ENSURANCE LTD,23/09/2011,Insurance,20725286
ENN,ELANOR INVESTORS GROUP,11/07/2014,Consumer Services,204599588
ENR,ENCOUNTER RESOURCES LIMITED,24/03/2006,Materials,63544641
ENT,ENTERPRISE METALS LIMITED,20/06/2007,Materials,5876826
ENV,ENOVA MINING LIMITED,13/04/2007,Materials,4691152
ENX,ENEGEX LIMITED,08/10/2013,Materials,4222900
EOF,ECOFIBRE LIMITED,29/03/2019,"Pharmaceuticals, Biotechnology & Life Sciences",104764365
EOL,ENERGY ONE LIMITED,15/01/2007,Software & Services,137657355
EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,23/10/2000,Capital Goods,101029244
EP1,E&P FINANCIAL GROUP LIMITED,14/05/2018,Diversified Financials,126564648
EPM,ECLIPSE METALS LIMITED.,17/02/2011,Energy,38460880
EPN,EPSILON HEALTHCARE LIMITED,04/05/2017,"Pharmaceuticals, Biotechnology & Life Sciences",7809204
EPX,EP&T GLOBAL LIMITED,12/05/2021,Software & Services,8187183
EPY,EARLYPAY LTD,23/02/2010,Diversified Financials,108723259
